Series ID,Year,Period,Label,Value
LNS11300000Q,1948,Q01,1948 January,58.7
LNS11300000Q,1948,Q02,1948 April,58.8
LNS11300000Q,1948,Q03,1948 July,59
LNS11300000Q,1948,Q04,1948 October,58.8
LNS11300000Q,1949,Q01,1949 January,58.9
LNS11300000Q,1949,Q02,1949 April,58.8
LNS11300000Q,1949,Q03,1949 July,59.1
LNS11300000Q,1949,Q04,1949 October,59.4
LNS11300000Q,1950,Q01,1950 January,58.9
LNS11300000Q,1950,Q02,1950 April,59.2
LNS11300000Q,1950,Q03,1950 July,59.2
LNS11300000Q,1950,Q04,1950 October,59.2
LNS11300000Q,1951,Q01,1951 January,59.3
LNS11300000Q,1951,Q02,1951 April,59.2
LNS11300000Q,1951,Q03,1951 July,59.2
LNS11300000Q,1951,Q04,1951 October,59.4
LNS11300000Q,1952,Q01,1952 January,59.3
LNS11300000Q,1952,Q02,1952 April,59
LNS11300000Q,1952,Q03,1952 July,58.9
LNS11300000Q,1952,Q04,1952 October,59
LNS11300000Q,1953,Q01,1953 January,59.6
LNS11300000Q,1953,Q02,1953 April,58.9
LNS11300000Q,1953,Q03,1953 July,58.7
LNS11300000Q,1953,Q04,1953 October,58.5
LNS11300000Q,1954,Q01,1954 January,59
LNS11300000Q,1954,Q02,1954 April,58.8
LNS11300000Q,1954,Q03,1954 July,58.8
LNS11300000Q,1954,Q04,1954 October,58.5
LNS11300000Q,1955,Q01,1955 January,58.5
LNS11300000Q,1955,Q02,1955 April,58.9
LNS11300000Q,1955,Q03,1955 July,59.6
LNS11300000Q,1955,Q04,1955 October,60
LNS11300000Q,1956,Q01,1956 January,60
LNS11300000Q,1956,Q02,1956 April,60.1
LNS11300000Q,1956,Q03,1956 July,60
LNS11300000Q,1956,Q04,1956 October,59.8
LNS11300000Q,1957,Q01,1957 January,59.7
LNS11300000Q,1957,Q02,1957 April,59.6
LNS11300000Q,1957,Q03,1957 July,59.6
LNS11300000Q,1957,Q04,1957 October,59.5
LNS11300000Q,1958,Q01,1958 January,59.3
LNS11300000Q,1958,Q02,1958 April,59.7
LNS11300000Q,1958,Q03,1958 July,59.7
LNS11300000Q,1958,Q04,1958 October,59.3
LNS11300000Q,1959,Q01,1959 January,59.2
LNS11300000Q,1959,Q02,1959 April,59.3
LNS11300000Q,1959,Q03,1959 July,59.3
LNS11300000Q,1959,Q04,1959 October,59.3
LNS11300000Q,1960,Q01,1960 January,58.9
LNS11300000Q,1960,Q02,1960 April,59.6
LNS11300000Q,1960,Q03,1960 July,59.5
