Series ID,Year,Period,Label,Value
LNU04000000,1948,M01,1948 January,4
LNU04000000,1948,M02,1948 February,4.7
LNU04000000,1948,M03,1948 March,4.5
LNU04000000,1948,M04,1948 April,4
LNU04000000,1948,M05,1948 May,3.4
LNU04000000,1948,M06,1948 June,3.9
LNU04000000,1948,M07,1948 July,3.9
LNU04000000,1948,M08,1948 August,3.6
LNU04000000,1948,M09,1948 September,3.4
LNU04000000,1948,M10,1948 October,2.9
LNU04000000,1948,M11,1948 November,3.3
LNU04000000,1948,M12,1948 December,3.6
LNU04000000,1949,M01,1949 January,5
LNU04000000,1949,M02,1949 February,5.8
LNU04000000,1949,M03,1949 March,5.6
LNU04000000,1949,M04,1949 April,5.4
LNU04000000,1949,M05,1949 May,5.7
LNU04000000,1949,M06,1949 June,6.4
LNU04000000,1949,M07,1949 July,7
LNU04000000,1949,M08,1949 August,6.3
LNU04000000,1949,M09,1949 September,5.9
LNU04000000,1949,M10,1949 October,6.1
LNU04000000,1949,M11,1949 November,5.7
LNU04000000,1949,M12,1949 December,6
LNU04000000,1950,M01,1950 January,7.6
LNU04000000,1950,M02,1950 February,7.9
LNU04000000,1950,M03,1950 March,7.1
LNU04000000,1950,M04,1950 April,6
LNU04000000,1950,M05,1950 May,5.3
LNU04000000,1950,M06,1950 June,5.6
LNU04000000,1950,M07,1950 July,5.3
LNU04000000,1950,M08,1950 August,4.1
LNU04000000,1950,M09,1950 September,4
LNU04000000,1950,M10,1950 October,3.3
LNU04000000,1950,M11,1950 November,3.8
LNU04000000,1950,M12,1950 December,3.9
LNU04000000,1951,M01,1951 January,4.4
LNU04000000,1951,M02,1951 February,4.2
LNU04000000,1951,M03,1951 March,3.8
LNU04000000,1951,M04,1951 April,3.2
LNU04000000,1951,M05,1951 May,2.9
LNU04000000,1951,M06,1951 June,3.4
LNU04000000,1951,M07,1951 July,3.3
LNU04000000,1951,M08,1951 August,2.9
LNU04000000,1951,M09,1951 September,3
LNU04000000,1951,M10,1951 October,2.8
LNU04000000,1951,M11,1951 November,3.2
LNU04000000,1951,M12,1951 December,2.9
LNU04000000,1952,M01,1952 January,3.7
LNU04000000,1952,M02,1952 February,3.8
LNU04000000,1952,M03,1952 March,3.3
LNU04000000,1952,M04,1952 April,3
LNU04000000,1952,M05,1952 May,2.9
LNU04000000,1952,M06,1952 June,3.2
LNU04000000,1952,M07,1952 July,3.3
LNU04000000,1952,M08,1952 August,3.1
LNU04000000,1952,M09,1952 September,2.7
LNU04000000,1952,M10,1952 October,2.4
LNU04000000,1952,M11,1952 November,2.5
LNU04000000,1952,M12,1952 December,2.5
LNU04000000,1953,M01,1953 January,3.4
LNU04000000,1953,M02,1953 February,3.2
LNU04000000,1953,M03,1953 March,2.9
LNU04000000,1953,M04,1953 April,2.8
LNU04000000,1953,M05,1953 May,2.5
LNU04000000,1953,M06,1953 June,2.7
LNU04000000,1953,M07,1953 July,2.7
LNU04000000,1953,M08,1953 August,2.4
LNU04000000,1953,M09,1953 September,2.6
LNU04000000,1953,M10,1953 October,2.5
LNU04000000,1953,M11,1953 November,3.2
LNU04000000,1953,M12,1953 December,4.2
LNU04000000,1954,M01,1954 January,5.7
LNU04000000,1954,M02,1954 February,6.3
LNU04000000,1954,M03,1954 March,6.4
LNU04000000,1954,M04,1954 April,6.1
LNU04000000,1954,M05,1954 May,5.7
LNU04000000,1954,M06,1954 June,5.7
LNU04000000,1954,M07,1954 July,5.7
LNU04000000,1954,M08,1954 August,5.4
LNU04000000,1954,M09,1954 September,5.3
LNU04000000,1954,M10,1954 October,4.6
LNU04000000,1954,M11,1954 November,4.9
LNU04000000,1954,M12,1954 December,4.8
LNU04000000,1955,M01,1955 January,5.8
LNU04000000,1955,M02,1955 February,5.7
LNU04000000,1955,M03,1955 March,5.2
LNU04000000,1955,M04,1955 April,4.9
LNU04000000,1955,M05,1955 May,4.2
LNU04000000,1955,M06,1955 June,4.4
LNU04000000,1955,M07,1955 July,4
LNU04000000,1955,M08,1955 August,3.8
LNU04000000,1955,M09,1955 September,3.5
LNU04000000,1955,M10,1955 October,3.4
LNU04000000,1955,M11,1955 November,3.8
LNU04000000,1955,M12,1955 December,3.9
LNU04000000,1956,M01,1956 January,4.7
LNU04000000,1956,M02,1956 February,4.8
LNU04000000,1956,M03,1956 March,4.7
LNU04000000,1956,M04,1956 April,4.1
LNU04000000,1956,M05,1956 May,4.2
LNU04000000,1956,M06,1956 June,4.7
LNU04000000,1956,M07,1956 July,4.4
LNU04000000,1956,M08,1956 August,3.7
LNU04000000,1956,M09,1956 September,3.4
LNU04000000,1956,M10,1956 October,3.1
LNU04000000,1956,M11,1956 November,3.9
LNU04000000,1956,M12,1956 December,4
LNU04000000,1957,M01,1957 January,4.9
LNU04000000,1957,M02,1957 February,4.7
LNU04000000,1957,M03,1957 March,4.3
LNU04000000,1957,M04,1957 April,4
LNU04000000,1957,M05,1957 May,3.9
LNU04000000,1957,M06,1957 June,4.6
LNU04000000,1957,M07,1957 July,4.1
LNU04000000,1957,M08,1957 August,3.7
LNU04000000,1957,M09,1957 September,3.7
LNU04000000,1957,M10,1957 October,3.6
LNU04000000,1957,M11,1957 November,4.6
LNU04000000,1957,M12,1957 December,5
LNU04000000,1958,M01,1958 January,6.8
LNU04000000,1958,M02,1958 February,7.7
LNU04000000,1958,M03,1958 March,7.7
LNU04000000,1958,M04,1958 April,7.5
LNU04000000,1958,M05,1958 May,7.1
LNU04000000,1958,M06,1958 June,7.6
LNU04000000,1958,M07,1958 July,7.4
LNU04000000,1958,M08,1958 August,6.7
LNU04000000,1958,M09,1958 September,6
LNU04000000,1958,M10,1958 October,5.5
LNU04000000,1958,M11,1958 November,5.6
LNU04000000,1958,M12,1958 December,6
LNU04000000,1959,M01,1959 January,7
LNU04000000,1959,M02,1959 February,7
LNU04000000,1959,M03,1959 March,6.4
LNU04000000,1959,M04,1959 April,5.2
LNU04000000,1959,M05,1959 May,4.9
LNU04000000,1959,M06,1959 June,5.4
LNU04000000,1959,M07,1959 July,5.2
LNU04000000,1959,M08,1959 August,4.8
LNU04000000,1959,M09,1959 September,4.7
LNU04000000,1959,M10,1959 October,4.7
LNU04000000,1959,M11,1959 November,5.3
LNU04000000,1959,M12,1959 December,5.1
LNU04000000,1960,M01,1960 January,6.1
LNU04000000,1960,M02,1960 February,5.7
LNU04000000,1960,M03,1960 March,6.1
LNU04000000,1960,M04,1960 April,5.2
LNU04000000,1960,M05,1960 May,4.8
LNU04000000,1960,M06,1960 June,5.8
LNU04000000,1960,M07,1960 July,5.5
LNU04000000,1960,M08,1960 August,5.2
LNU04000000,1960,M09,1960 September,4.7
LNU04000000,1960,M10,1960 October,5
LNU04000000,1960,M11,1960 November,5.6
LNU04000000,1960,M12,1960 December,6.4
LNU04000000,1961,M01,1961 January,7.7
LNU04000000,1961,M02,1961 February,8.1
LNU04000000,1961,M03,1961 March,7.7
LNU04000000,1961,M04,1961 April,7
LNU04000000,1961,M05,1961 May,6.6
LNU04000000,1961,M06,1961 June,7.3
LNU04000000,1961,M07,1961 July,6.9
LNU04000000,1961,M08,1961 August,6.2
LNU04000000,1961,M09,1961 September,5.8
LNU04000000,1961,M10,1961 October,5.5
